title,votes,quorum,proposal_link
[FIP - 349] Authorize Fraxlend AMO for new pairs ( USDe/FRAX ),25,520%,https://snapshot.box/#/s:frax.eth/proposal/0x84e07420df434304b278748904a1565259873461995721640702e9c5bfc11c4f
[FIP - 348] Authorize Fraxlend AMO for new pairs ( sUSDe/FRAX ),22,520%,https://snapshot.box/#/s:frax.eth/proposal/0xb4e48c59985d7ab199fb02577fa9578e209bee8804225938b4d1720c15534c5c
[FIP - 347] Add Squid/wfrxETH to FXS gauge controller on Fraxtal,24,135%,https://snapshot.box/#/s:frax.eth/proposal/0xa1a8f02aaa3f576cb2d92deb6623bf57e04b110970f8301378e97b7e99d91846
[FIP - 346] Add zunETH/frxETH to FXS gauge controller,24,439%,https://snapshot.box/#/s:frax.eth/proposal/0x842bc1415734097c8977d6eccac5fe414ac087667acb4c578e4f09eda3a88a5f
[FIP - 345] Add a new market into Fraxlend on Ethereum (rsETH/frxETH),14,1.95%,https://snapshot.box/#/s:frax.eth/proposal/0xf216e3acb78213611f23302935b160a3b4128e8cef64ad8e74f87c23b81d0bf2
[FIP - 344] Add a new market into Fraxlend on Ethereum (ezETH/frxETH),17,2%,https://snapshot.box/#/s:frax.eth/proposal/0xc422a65dfa062b411d3496a1a73357fd7302857e686101efcb03d9f4bc9d8730
[FIP - 343] Unlock staked XAIFRAXBP3CRV-f due to XAI sunsetting with 0% fee,11,0.0707%,https://snapshot.box/#/s:frax.eth/proposal/0xc7f0f1ab23dc9ab52fcbef429ad1336a47a020b1265e3a0828d4de8072d68847
[FIP - 342] Ragequit rETH/frxETH with a 4% fee,23,420%,https://snapshot.box/#/s:frax.eth/proposal/0xc8a7d2ded098c2a3ae0f8f4a747595c5ea6eb05bc9e9b84c617ae26d03794718
[FIP - 341] Frax Singularity Roadmap Part 1,173,582%,https://snapshot.box/#/s:frax.eth/proposal/0x9ec68015d6f6fd185f600a255e494f4ff926bbdd9b268f4bd712983a6e68fb5a
[FIP - 340] Proposal for retiring of the Harmony canFRAX and canFXS,45,490%,https://snapshot.box/#/s:frax.eth/proposal/0x814093af769a693f2c0d8c97157f2d1b8e562e4a6cc29125db6a9b1e47c60e7f
[FIP - 339] Add the Curve CVG/FRAXBP pool to the FXS gauge controller,18,435%,https://snapshot.box/#/s:frax.eth/proposal/0x12934a12766e93197720870909ff084e6274504d3f11c7be6b03c520c85f1afb
[FIP - 338] Implement sdFrax3CRV-f Gauge ragequit function with 7.5% withdrawal fee,33,456%,https://snapshot.box/#/s:frax.eth/proposal/0x2a5dfe2d7b9913613385893aee76850d85fd9832ff21c00b8100e0abe5126ec0
"[FIP - 337] Use 100,000.00 vlCVX to vote for fxUSD/FRAX LP gauge on Curve Finance for 6 months",38,437%,https://snapshot.box/#/s:frax.eth/proposal/0x7ccad1489bc722c666096250c929e1f7b7c2ae66430aaa1c1e8386a1c482bd8c
[FIP - 336] Add Curve DOLA/FRAXPYUSD to the FXS gauge controller,37,409%,https://snapshot.box/#/s:frax.eth/proposal/0xe59b9484806fd883c276db53ebf1f8ffcd3fba9ec7d23d7a5d32a81fe77c992e
[FIP - 335] Add FRAX/sfrxETH Fraxswap Pool on Fraxtal to the FXS gauge controller,33,428%,https://snapshot.box/#/s:frax.eth/proposal/0xf590986f7986b73d30ed5f6d9e67ff35bc7b29bf9a517882fd5d0dce3bdf5af5
[FIP - 334] Add FRAX/FPIS Fraxswap Pool on Fraxtal to the FXS gauge controller,28,427%,https://snapshot.box/#/s:frax.eth/proposal/0xc6db615a5822ba57616c00f4e540943d0283c51eb18d9850eb98ecb49f44e99c
[FIP - 333] Add FRAX/FPI Fraxswap Pool on Fraxtal to the FXS gauge controller,25,427%,https://snapshot.box/#/s:frax.eth/proposal/0x05555ea5798586847c8991110b121935f45b433702310f4f8d1cd9ebe4fe352d
[FIP - 332] Add FRAX/FXS Fraxswap Pool on Fraxtal to the FXS gauge controller,26,427%,https://snapshot.box/#/s:frax.eth/proposal/0xf897bd656b550a58fa03778bf0634b8592d15fc82d54f6a478ef944276057714
[FIP - 331] Add FRAX/wfrxETH Fraxswap Pool on Fraxtal to the FXS gauge controller,25,427%,https://snapshot.box/#/s:frax.eth/proposal/0x141ce39c7c47fe0f9fd6a85d08d35a1cc7635662bc1a04a2329b39e3f963dc5e
[FIP - 330] Add Curve HFXB/Frax to the FXS gauge controller on Arbitrum [Updated Pool/Gauge],20,109%,https://snapshot.box/#/s:frax.eth/proposal/0xdc119fdd6aea88ead6f2eb1bc360b8066212c1840d80633301152c8a3a844e23
[FIP-329] Whitelist Alchemix to Stake veFXS,33,431%,https://snapshot.box/#/s:frax.eth/proposal/0xe71ec9feeacce5770d9b8e630d67d22925d74ec00d7e003f466c61ede2806b8f
[FIP - 328] Add Curve HFXB/Frax to the FXS gauge controller on Arbitrum,30,2.74%,https://snapshot.box/#/s:frax.eth/proposal/0x4e614ff8269718a9730e5aae49a5a33de2474fd4dd27ec9ac6099413fd0185a8
[FIP - 327] Onboarding Frax to tfBILL,24,403%,https://snapshot.box/#/s:frax.eth/proposal/0x6a28b9ea378463ea9b43dfe2b58f362dd5fab689ae9d78f5345783a9997963c0
[FIP - 326] Proposal for Implementing a 10% Protocol Fee on Fraxlend,21,419%,https://snapshot.box/#/s:frax.eth/proposal/0xa18abf213cc13a66e26753d0bd37b2101bda0d2f0ec4c1eb93650119ebbf4903
[FIP - 325] Add a new markets into Fraxlend on Ethereum (sFRAX/sfrxETH),39,414%,https://snapshot.box/#/s:frax.eth/proposal/0x3dae5c906c8b22e45a2836669c54e45259bafc2230dad61ac4a0f609750f2a7b
[FIP - 324] Deploy frxETH via Fraxferry on Eclipse Mainnet,36,8.26%,https://snapshot.box/#/s:frax.eth/proposal/0x6482a7af3ebaccef77fbd86b455654933c8df28418305fd13f7229b05cdd0eb1
[FIP - 323] Deploy FRAX via Fraxferry on Eclipse Mainnet,35,6.77%,https://snapshot.box/#/s:frax.eth/proposal/0xee1ea2db645c5f0bb0ba9bbe2895044911c7601533faab318b9b86a6d0ad73d2
[FIP-322] Flywheel Funding For 2024,72,694%,https://snapshot.box/#/s:frax.eth/proposal/0x2b173824c3e5d372782128bfedbc35b6f75ec8de32236d746ed7e31dd25e97f1
[FIP - 321] Add a new markets into Fraxlend on Ethereum (sFRAX/WETH),38,416%,https://snapshot.box/#/s:frax.eth/proposal/0x6b255b11e7baeb0a9da2e188ac88ec6217b73c4f4cfd9f160deed13f5a616ab5
[FIP - 320] Add a new markets into Fraxlend on Ethereum (sFRAX/WBTC),39,416%,https://snapshot.box/#/s:frax.eth/proposal/0x8489cfbfbcfae1dcebe8aa5b57ff89c2da35264283d7eb5caeb8a16a4fdf3b38
[FIP 319] Add Aave V3 aFRAX on Arbitrum to the FXS Gauge Controller,36,411%,https://snapshot.box/#/s:frax.eth/proposal/0xed9d253c50b61f7fe6fcd5e9f20354c3312bb28f5cd162d5d877ad1aced2cffa
[FIP - 318] Whitelisting FXBs for Frax Curve AMO,26,408%,https://snapshot.box/#/s:frax.eth/proposal/0x28a7d7696a5bdd88794291d7aa182195b0b4988b6cdd24c9bb943e999344a787
[FIP - 317] Add Balancer pxETH/frxETH to FXS Gauge Controller,27,126%,https://snapshot.box/#/s:frax.eth/proposal/0x8772c6b42eb678e6f58ad35ed84d10c0709955f8d3f68dbe9675ef003712e3b8
"[FIP - 316] Let VST/FRAX LP's ""rage quit"" at 20% fee",26,404%,https://snapshot.box/#/s:frax.eth/proposal/0x8a9cb9d7db0a9f6eeda459b2061a141057ff1bed89c986d0ebda68e796faf9f6
[FIP - 315] Add Curve FRAX/FXB_20261231 on Ethereum to the FXS gauge controller,25,404%,https://snapshot.box/#/s:frax.eth/proposal/0x7452d459c5bba3fc6e8526462ade3f8793834b7c0a5d0360b6c2f4db6eaf262a
